ticker,model,MAE,MSE,RMSE,MAPE,parameter
ADRO,sarimax,31.490937692660573,2065.2804378400097,45.44535661473029,1.7189447013504024,"(0, 1, 2)(0, 0, 0, 5)"
BBCA,sarimax,98.970434807962,17901.90060488744,133.79798430801355,1.2045702237781735,"(1, 1, 0)(2, 0, 0, 5)"
BBNI,sarimax,57.096141990380616,6301.018905540869,79.37895757403766,1.349973755756712,"(0, 1, 0)(1, 0, 0, 5)"
BBRI,sarimax,52.539763020875135,4968.258248871696,70.48587269000573,1.3601177652800212,"(2, 1, 2)(0, 0, 0, 5)"
BBTN,sarimax,24.115387020147534,1104.2427570506486,33.23014831520691,1.9884465019811042,"(0, 0, 2)(2, 0, 0, 5)"
BMRI,sarimax,60.54248438267199,6517.336775139161,80.73002400061058,1.291862794192063,"(0, 1, 1)(0, 0, 0, 5)"
ITMG,sarimax,154.37274815963892,49890.65167631257,223.362153634658,0.6837221869112101,"(0, 1, 0)(1, 0, 0, 5)"
MEDC,sarimax,25.8696801073343,1229.8832324309615,35.06969107977659,1.960504135028465,"(0, 1, 0)(2, 0, 0, 5)"
PGAS,sarimax,23.498794949029058,1115.7543430609226,33.402909200561,1.374411291425844,"(0, 1, 0)(2, 0, 1, 5)"
PTBA,sarimax,22.66224193795849,2110.6168718015447,45.94145047559496,0.9422648521180531,"(2, 1, 0)(2, 0, 1, 5)"
