ticker,model,MAE,MSE,RMSE,MAPE,parameter
ADRO,arimax,31.490937692660573,2065.2804378400097,45.44535661473029,1.7189447013504024,"(0,1,2)"
BBCA,arimax,97.64027677387598,17592.98852107804,132.63856347638134,1.1885104744950619,"(1,1,0)"
BBNI,arimax,57.14078520997371,6307.7294622408845,79.42121544172491,1.3511775530553196,"(0,1,3)"
BBRI,arimax,52.539763020875135,4968.258248871696,70.48587269000573,1.3601177652800212,"(2,1,2)"
BBTN,arimax,24.15270757561658,1099.868774664508,33.164269548182546,1.9910994216599687,"(3,0,0)"
BMRI,arimax,60.54248438267199,6517.336775139161,80.73002400061058,1.291862794192063,"(0,1,1)"
ITMG,arimax,154.27936251661865,49741.034300905696,223.02698110521447,0.6833756857123542,"(0,1,1)"
MEDC,arimax,28.228193398437902,1400.2034976193593,37.41929312025228,2.146836027111753,"(1,1,3)"
PGAS,arimax,23.178731904606668,1084.1705567773013,32.92674531102795,1.3574354883673754,"(1,1,0)"
PTBA,arimax,22.61290312102977,2099.6414907030858,45.82184512547575,0.9400348714151016,"(2,1,0)"
