ticker,model,MAE,MSE,RMSE,MAPE,parameter
ADRO,sarima,31.94171447583797,2093.5149230797138,45.75494424736756,1.7444289402533657,"(0, 1, 3)(0, 0, 3, 5)"
BBCA,sarima,98.33545772652488,17643.24548150585,132.82787915759948,1.1970100569439128,"(0, 1, 3)(2, 0, 3, 5)"
BBNI,sarima,57.048520487603454,6330.685506817839,79.56560504902755,1.3498382946608405,"(0, 1, 3)(0, 0, 3, 5)"
BBRI,sarima,53.16903577934641,4981.8998455506335,70.58257465940608,1.3766742696978438,"(0, 1, 3)(0, 0, 3, 5)"
BBTN,sarima,24.574879236913997,1168.7912525138345,34.187589159135435,2.0202497532181214,"(1, 0, 3)(0, 0, 3, 5)"
BMRI,sarima,61.22110128563467,6625.24986207086,81.3956378565268,1.3041982464663222,"(0, 1, 3)(0, 0, 3, 5)"
ITMG,sarima,153.85762855074077,49803.83124546446,223.16771998984186,0.6812466460398745,"(0, 1, 3)(0, 0, 3, 5)"
MEDC,sarima,25.794269435808744,1224.8166275952865,34.99738029617769,1.9558621771153033,"(0, 1, 3)(0, 0, 3, 5)"
PGAS,sarima,24.46849424911103,1182.1848933552246,34.382915719223476,1.4338808532521223,"(1, 0, 1)(0, 0, 3, 5)"
PTBA,sarima,22.76990903493436,2107.818354335285,45.91098293802133,0.9459818224124046,"(0, 1, 3)(0, 0, 3, 5)"
