ticker,model,MAE,MSE,RMSE,MAPE,R2,NRMSE (%),Bias,Directional Accuracy (%),Naive MAE,Naive RMSE,Naive MAPE,RMSE Improvement (%),MAPE Improvement (%),Epochs Trained,Best Epoch,Best Val Loss,Train Loss @ Best,Loss Gap,parameter
ADRO,Transformer,39.96358893954983,3358.513215653821,57.95268083232924,2.1096443168801695,0.8414522011194739,3.104821144942428,-15.848146982204451,51.442307692307686,34.75961538461539,53.268189381656285,1.835445179726138,-8.794163092553196,-14.93910797133936,21,11,0.0007763836765661836,0.0016269813058897853,-0.0008505976293236017,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
BBCA,Transformer,112.12632002738806,23956.498634806238,154.77887011735885,1.3370500077294516,0.9046548687484106,1.832145630595168,14.401961920353083,42.30769230769231,110.9375,154.10060088237063,1.321898857001413,-0.4401470410267662,-1.1461656576666848,26,16,0.00010749279317678884,0.00023236029664985836,-0.00012486750347306952,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
BBNI,Transformer,72.50406563282013,10348.518804416168,101.72766980726614,1.7053041284885444,0.7143694684527631,2.388296911814456,-8.309212034711472,47.59615384615385,69.61538461538461,99.10173482918373,1.6381989789737423,-2.6497366394327946,-4.0962758722289285,21,11,0.0002210522216046229,0.001088335644453764,-0.0008672834228491411,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
BBRI,Transformer,64.76527304603502,8148.899776626794,90.27125664699032,1.6804658023313181,0.783908113086591,2.3298698824387625,9.956603669203256,45.19230769230769,63.89423076923076,89.61724164467459,1.6556281081016355,-0.7297870257029888,-1.5001976656558367,43,33,0.0001815981522668153,0.0002095935051329434,-2.7995352866128087e-05,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
BBTN,Transformer,27.22642802991546,1362.2566328790929,36.90876092310731,2.510867299385254,0.9337405294745735,3.2526309806191382,2.0232226255421426,46.63461538461539,23.197115384615383,32.450035557643204,2.068513667524253,-13.740278828181152,-21.385095917226497,22,12,0.00020771777781192213,0.002476626308634877,-0.002268908530822955,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
BMRI,Transformer,77.3850127782386,12599.58820599002,112.24788731192236,1.6113378781206205,0.8515821141337617,2.3411826023313846,-2.559941217589835,46.15384615384615,77.04326923076923,111.92964393898379,1.6044743564184,-0.28432447539282074,-0.42777384847343547,26,16,0.00020522017439361662,0.0002735535381361842,-6.83333637425676e-05,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
ITMG,Transformer,201.97094501211075,116964.880409759,342.0012871463483,0.8872182970025342,0.8319512858261295,1.5062626829237609,42.124427869343016,47.11538461538461,200.72115384615367,339.8246153985451,0.8807719343935861,-0.6405279809558247,-0.7318991849333143,21,11,8.10794226708822e-05,0.000624628912191838,-0.0005435494895209558,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
MEDC,Transformer,23.855186702253725,1014.2668359223751,31.847556200160398,1.9269109517847252,0.9473218938488187,2.591207216895837,0.9173191066544768,45.19230769230769,23.29326923076923,31.806581926484238,1.8753537464551668,-0.12882325353558818,-2.7491989405738964,19,9,0.0002668929810170084,0.0008519567782059312,-0.0005850637971889228,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
PGAS,Transformer,24.423495936565683,1126.4516988376984,33.562653334289564,1.4569448836579673,0.8872924898167043,1.9932706774211888,-1.0130038212698305,46.15384615384615,24.350961538461547,33.53205986010312,1.4525769617819626,-0.09123648924069444,-0.30070158008332065,49,39,0.00020631702500395477,0.00029908071155659854,-9.276368655264378e-05,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
PTBA,Transformer,27.181005446383587,2288.7397597332674,47.84077507454564,1.0853744139834183,0.9427661471625614,1.9202040090126766,-3.288439131126954,43.75,25.865384615384617,47.271718655189424,1.031169393061117,-1.203798879213682,-5.256655335879288,22,12,0.0001371435500914231,0.0007407442317344248,-0.0006036006816430017,"window = 30, d_model = 32, heads = 2, ff_dim = 64, layers = 1, dropout = 0.1"
