ticker,model,MAE,MSE,RMSE,MAPE,parameter
ADRO,LSTM,44.40113535834302,3594.303267167908,59.95250843098984,2.4311978772119627,"window = 30, units = 128, layers = 2, dropout = 0.15"
BBCA,LSTM,107.5879120955364,24813.23825387536,157.52218337070929,1.3072141507228983,"window = 30, units = 128, layers = 2, dropout = 0.15"
BBNI,LSTM,62.99588151972931,7545.413790306737,86.86434130474217,1.488164452588585,"window = 30, units = 128, layers = 2, dropout = 0.15"
BBRI,LSTM,63.22660291595981,6909.818459015775,83.12531779798364,1.6427315910057347,"window = 30, units = 128, layers = 2, dropout = 0.15"
BBTN,LSTM,24.952297576114784,1291.032642911712,35.930942694448085,2.05142137679129,"window = 30, units = 128, layers = 2, dropout = 0.15"
BMRI,LSTM,82.14238753207293,10764.837789503666,103.75373626768179,1.7522076054590336,"window = 30, units = 128, layers = 2, dropout = 0.15"
ITMG,LSTM,301.3949759894139,158868.3784470601,398.5829630667373,1.3379726929277715,"window = 30, units = 128, layers = 2, dropout = 0.15"
MEDC,LSTM,29.311770339752865,1519.039969107346,38.97486329812263,2.2211578518150326,"window = 30, units = 128, layers = 2, dropout = 0.15"
PGAS,LSTM,24.391941904164035,1233.94123866391,35.127499749682016,1.4337009149309003,"window = 30, units = 128, layers = 2, dropout = 0.15"
PTBA,LSTM,23.332983057061544,2301.2569260537457,47.971417803247654,0.9676536314352147,"window = 30, units = 128, layers = 2, dropout = 0.15"
