config,window,units,layers,dropout,MAE,MSE,RMSE,MAPE
Combination_078,60,32,2,0.2,100.164,29057.3053,132.907,2.2533
Combination_007,20,32,2,0.3,102.1066,33482.1506,138.4187,2.2557
Combination_107,60,128,3,0.3,92.925,22471.8674,124.252,2.2986
Combination_006,20,32,2,0.2,108.9419,40740.4481,143.7893,2.3009
Combination_072,40,128,3,0.4,92.4419,22092.3312,123.0533,2.3057
Combination_042,40,32,2,0.2,114.7311,46965.1934,148.1531,2.3067
Combination_108,60,128,3,0.4,95.9176,23906.8551,127.9149,2.3264
Combination_045,40,32,3,0.1,118.1186,52116.1826,154.0548,2.346
Combination_092,60,64,2,0.4,117.1786,46093.9488,151.6391,2.3727
Combination_094,60,64,3,0.2,96.5335,24004.4764,128.7709,2.4003
Combination_043,40,32,2,0.3,110.2197,36605.3607,144.7508,2.4099
Combination_079,60,32,2,0.3,113.1838,40060.7447,147.0743,2.418
Combination_009,20,32,3,0.1,98.5883,24930.6241,131.6447,2.4616
Combination_023,20,64,3,0.3,109.7697,35334.6554,142.7089,2.4627
Combination_024,20,64,3,0.4,112.6405,39099.2636,151.844,2.4856
Combination_044,40,32,2,0.4,116.881,40239.5176,154.0557,2.5434
Combination_081,60,32,3,0.1,126.1091,55064.9685,163.8844,2.5637
Combination_093,60,64,3,0.1,122.1526,47408.6082,157.1832,2.5661
Combination_059,40,64,3,0.3,129.4874,51357.8953,163.4689,2.578
Combination_011,20,32,3,0.3,117.6395,41888.2835,155.8595,2.5855
Combination_095,60,64,3,0.3,132.3933,55504.1863,167.5094,2.5984
Combination_082,60,32,3,0.2,130.427,59904.059,169.6504,2.6122
Combination_080,60,32,2,0.4,116.2755,38896.6961,152.8556,2.6287
Combination_096,60,64,3,0.4,133.8148,66871.3897,176.7456,2.675
Combination_008,20,32,2,0.4,123.4874,42836.3297,157.0144,2.7148
Combination_060,40,64,3,0.4,133.6163,50044.8531,167.2968,2.7759
Combination_010,20,32,3,0.2,145.1347,58153.9761,178.0142,2.8603
Combination_046,40,32,3,0.2,135.07,48360.3109,166.0412,2.8948
Combination_047,40,32,3,0.3,139.4935,57764.1516,178.7039,2.9537
Combination_083,60,32,3,0.3,141.1002,60142.5679,182.1501,2.9695
Combination_048,40,32,3,0.4,139.2871,57373.844,179.5556,3.0016
Combination_012,20,32,3,0.4,143.3259,56941.3521,181.9712,3.0082
Combination_084,60,32,3,0.4,149.5265,67725.5354,191.1822,3.1037
