time,open,high,low,close,Volume
2020-04-01,2936.54697,3004.83876,2829.2313,2858.49921,278540831.50750005
2020-04-02,2780.45145,2829.2313,2731.6716,2799.96339,307383478.0715387
2020-04-03,2858.49921,2878.01115,2760.93951,2819.47533,300479500.99488413
2020-04-06,2878.01115,2956.05891,2838.98727,2946.30294,292231217.5403004
2020-04-07,3024.3507,3160.93428,2878.01115,2956.05891,415529362.9222928
2020-04-08,2926.791,2965.81488,2751.18354,2751.18354,300274190.78443885
2020-04-09,2790.20742,2838.98727,2682.89175,2721.91563,272435236.2491959
2020-04-13,2721.91563,2770.69548,2634.1119,2702.40369,126826342.9984348
2020-04-14,2721.91563,2829.2313,2702.40369,2829.2313,225230294.8635975
2020-04-15,2829.2313,2917.03503,2663.37981,2692.64772,327076753.2573683
2020-04-16,2702.40369,2702.40369,2517.04026,2546.30817,376947448.3753944
2020-04-17,2604.84399,2770.69548,2595.08802,2760.93951,412389028.70341474
2020-04-20,2809.71936,2829.2313,2692.64772,2712.15966,227561687.25330105
2020-04-21,2682.89175,2721.91563,2624.35593,2653.62384,136196912.60337454
2020-04-22,2634.1119,2760.93951,2585.33205,2721.91563,184034288.6372256
2020-04-23,2760.93951,2809.71936,2721.91563,2731.6716,221577864.11981472
2020-04-24,2731.6716,2731.6716,2565.82011,2565.82011,301058018.58787125
2020-04-27,2614.59996,2634.1119,2546.30817,2595.08802,187176056.8575735
2020-04-28,2614.59996,2624.35593,2507.28429,2526.79623,275007097.8853831
2020-04-29,2536.5522,2556.06414,2497.52832,2517.04026,214367612.7292256
2020-04-30,2556.06414,2673.13578,2546.30817,2663.37981,442881537.9585813
2020-05-04,2604.84399,2614.59996,2536.5522,2565.82011,205626810.7698048
2020-05-05,2565.82011,2614.59996,2546.30817,2565.82011,189383013.11972865
2020-05-06,2565.82011,2585.33205,2536.5522,2556.06414,177381540.81808388
2020-05-08,2575.57608,2595.08802,2517.04026,2526.79623,210911779.18695712
2020-05-11,2565.82011,2575.57608,2536.5522,2556.06414,158466251.4296985
2020-05-12,2556.06414,2565.82011,2409.72459,2429.23653,377894458.3460903
2020-05-13,2399.96862,2458.50444,2380.45668,2409.72459,347061542.7420034
2020-05-14,2380.45668,2419.48056,2273.14101,2292.65295,482028029.08417714
2020-05-15,2321.92086,2341.4328,2156.06937,2185.33728,609532726.7779331
2020-05-18,2195.09325,2214.60519,2107.28952,2117.04549,466855268.5319261
2020-05-19,2195.09325,2360.94474,2195.09325,2312.16489,544599972.221126
2020-05-20,2302.40892,2438.9925,2263.38504,2419.48056,404261082.3721779
2020-05-26,2487.77235,2487.77235,2409.72459,2458.50444,414205147.5649571
2020-05-27,2478.01638,2565.82011,2458.50444,2565.82011,443639124.7351163
2020-05-28,2575.57608,2712.15966,2575.57608,2663.37981,464732158.3557142
2020-05-29,2634.1119,2878.01115,2634.1119,2878.01115,894434176.8051391
2020-06-02,2878.01115,3209.71413,2878.01115,3102.39846,479153584.13783854
2020-06-03,3121.9104,3199.95816,2936.54697,3024.3507,449057346.2888546
2020-06-04,3043.86264,3121.9104,2956.05891,2985.32682,256400131.81303263
2020-06-05,2995.08279,3053.61861,2887.76712,3034.10667,274081817.9369608
2020-06-08,3102.39846,3287.76189,3092.64249,3219.4701,393945552.7986435
2020-06-09,3268.24995,3278.00592,3131.66637,3131.66637,260863245.38777447
2020-06-10,3102.39846,3102.39846,2926.791,2956.05891,454318022.6811074
2020-06-11,3053.61861,3053.61861,2829.2313,2897.52309,381661177.2070197
2020-06-12,2829.2313,2965.81488,2731.6716,2956.05891,483937937.0418543
2020-06-15,2965.81488,2975.57085,2819.47533,2829.2313,236538959.45510653
2020-06-16,2897.52309,3073.13055,2887.76712,3053.61861,347153588.83635163
2020-06-17,3121.9104,3121.9104,3004.83876,3024.3507,223638243.2317266
2020-06-18,2975.57085,3043.86264,2965.81488,2975.57085,134217919.57488433
2020-06-19,3004.83876,3034.10667,2985.32682,3024.3507,171107536.38715845
2020-06-22,3024.3507,3034.10667,2956.05891,2985.32682,97762703.20787558
2020-06-23,2946.30294,2985.32682,2907.27906,2936.54697,175709334.1040531
