time,open,high,low,close,Volume
2022-10-25,8825,8875,8700,8700,89442400
2022-10-26,8625,8650,8550,8550,87211700
2022-10-27,8550,8700,8550,8700,77023600
2022-10-28,8650,8750,8650,8750,67040200
2022-10-31,8850,8850,8775,8800,105566600
2022-11-01,9000,9000,8725,8800,107394700
2022-11-02,8800,8825,8725,8750,58317000
2022-11-03,8700,8825,8700,8800,72143700
2022-11-04,8775,8800,8675,8775,69153000
2022-11-07,8725,8850,8675,8850,73900800
2022-11-08,8850,8875,8725,8750,42527400
2022-11-09,8675,8875,8675,8875,68174100
2022-11-10,8725,8800,8725,8800,74779800
2022-11-11,8900,8925,8825,8850,59597900
2022-11-14,8875,8900,8750,8750,61431700
2022-11-15,8775,8850,8750,8800,47667300
2022-11-16,8625,8675,8550,8600,143585500
2022-11-17,8625,8825,8600,8725,72699300
2022-11-18,8725,8900,8725,8825,83899100
2022-11-21,8875,8900,8725,8725,48654100
2022-11-22,8900,8950,8850,8900,84684200
2022-11-23,8900,8975,8875,8875,85516700
2022-11-24,8975,9000,8950,9000,61189600
2022-11-25,9000,9000,8900,8975,60465700
2022-11-28,9050,9100,8975,9025,77649600
2022-11-29,8975,9075,8925,8975,81737400
2022-11-30,8875,9400,8850,9300,387655900
2022-12-01,9275,9350,9000,9000,132767900
2022-12-02,8900,8975,8900,8900,137809400
2022-12-05,8800,8900,8775,8775,138651400
2022-12-06,8725,8750,8575,8675,180913300
2022-12-07,8500,8575,8450,8450,195092800
2022-12-08,8375,8575,8350,8500,149608500
2022-12-09,8500,8600,8450,8575,75502100
2022-12-12,8525,8700,8475,8700,84280700
2022-12-13,8625,8700,8550,8700,83504800
2022-12-14,8600,8700,8525,8625,118238400
2022-12-15,8575,8600,8500,8500,80585500
2022-12-16,8425,8650,8400,8600,124944200
2022-12-19,8650,8700,8600,8650,54727200
2022-12-20,8550,8650,8550,8575,41296000
2022-12-21,8600,8700,8575,8675,33620500
2022-12-22,8650,8675,8575,8575,52110600
2022-12-23,8525,8575,8500,8500,47393000
2022-12-26,8500,8625,8500,8575,20515300
2022-12-27,8600,8650,8575,8600,28693700
2022-12-28,8650,8650,8550,8650,48368000
2022-12-29,8525,8600,8500,8575,47020900
2022-12-30,8575,8650,8550,8550,44681400
2023-01-02,8575,8600,8500,8550,11409600
2023-01-03,8550,8600,8525,8550,27425000
2023-01-04,8525,8575,8350,8350,90993200
2023-01-05,8350,8375,8150,8250,128838500
2023-01-06,8100,8325,8100,8300,69286600
2023-01-09,8325,8450,8325,8450,86930600
2023-01-10,8400,8425,8150,8175,89322900
2023-01-11,8050,8150,8000,8125,119320800
2023-01-12,8150,8275,8125,8175,91113300
2023-01-13,8150,8175,8025,8050,119788700
2023-01-16,8050,8200,8050,8150,94593700
2023-01-17,8175,8375,8150,8325,88695900
2023-01-18,8200,8325,8175,8300,96867900
2023-01-19,8350,8350,8250,8325,55008000
2023-01-20,8275,8325,8250,8300,82111300
2023-01-24,8300,8350,8225,8225,38529000
2023-01-25,8300,8300,8200,8200,56208200
2023-01-26,8225,8475,8225,8475,78788400
2023-01-27,8700,8850,8550,8700,183311200
2023-01-30,8725,8775,8575,8700,95673400
2023-01-31,8625,8675,8475,8475,147164200
2023-02-01,8575,8575,8450,8500,77406800
2023-02-02,8425,8525,8400,8450,81188000
2023-02-03,8550,8700,8500,8700,71717100
2023-02-06,8750,8750,8650,8725,118107300
2023-02-07,8775,8850,8750,8850,116014700
2023-02-08,8825,8850,8800,8825,54497400
2023-02-09,8825,8900,8800,8900,58544100
2023-02-10,8875,8900,8700,8825,62060900
2023-02-13,8875,8900,8775,8875,51181400
2023-02-14,8850,8950,8825,8950,58457200
2023-02-15,8875,8900,8750,8875,49527000
2023-02-16,8825,8850,8700,8700,66072300
2023-02-17,8775,8850,8725,8725,34693700
2023-02-20,8725,8825,8700,8750,40079200
2023-02-21,8775,8800,8700,8700,25390500
2023-02-22,8700,8750,8625,8675,51048100
2023-02-23,8625,8750,8625,8725,53419400
2023-02-24,8775,8850,8675,8675,60246600
2023-02-27,8675,8775,8650,8775,48204500
2023-02-28,8775,8775,8675,8750,106349400
2023-03-01,8725,8750,8600,8600,67034700
2023-03-02,8600,8700,8600,8625,56687800
2023-03-03,8650,8675,8475,8475,95376900
2023-03-06,8550,8550,8400,8400,93722600
2023-03-07,8350,8475,8350,8425,94237600
2023-03-08,8400,8575,8400,8575,62401500
2023-03-09,8650,8650,8550,8575,54201400
2023-03-10,8500,8550,8450,8450,59639500
