config,MAE,MSE,RMSE,MAPE
AIC_0-3,54.9065,9350.3113,78.0731,1.3787
AIC_0-5,55.9767,9740.1932,79.1188,1.3876
AIC_0-9,56.2333,9573.7734,79.0394,1.4041
BIC_0-3,54.8706,9346.3731,78.0035,1.3769
BIC_0-5,55.0518,9359.102,78.0517,1.3777
BIC_0-9,55.1984,9385.4374,78.2575,1.3834
